[2026-04-06 17:58:46] --- Iteration 101 (sims=512, global_step=100000) ---
[2026-04-06 17:58:46] Self-play start (m=24, c_visit=50.0, num_gpus=1, games_per_gpu=1000, total=1000)
[gpu0]     Finished `release` profile [optimized] target(s) in 0.30s
[gpu0]      Running `target/release/self-play --games 1000 --simulations 512 --c-puct-init 1.5 --c-puct-base 19652.0 --m 24 --c-visit 50.0 --gamma 0.95 --min-chain 0 --threads 512 --batch-size 2048 --num-leaves 1 --model-path runs/rtx5090-3/artifacts/puyo_model --cols 6 --rows 14 --num-colors 4 --residual-channels 128 --num-blocks 6 --policy-conv-channels 2 --value-conv-channels 1 --value-hidden 64 --film-hidden 128 --output runs/rtx5090-3/data/alphazero_iter_101_gpu0.bin`
[gpu0] games=1000, simulations=512, c_puct_init=1.5, c_puct_base=19652, m=24, c_visit=50, gamma=0.95, num_leaves=1, min_chain=0
[gpu0] Game config: cols=6, rows=14, num_colors=4, residual_channels=128, num_blocks=6, policy_conv_ch=2, value_conv_ch=1, value_hidden=64, film_hidden=128
[gpu0] Backend: Cuda (GPU) — Gumbel MCTS self-play (batched)
[gpu0] Loaded existing model from runs/rtx5090-3/artifacts/puyo_model
[gpu0] Using 512 game threads, max_batch_size=2048
[gpu0] [   1/1000] samples:     50 | chain(game/max/avg): 8/8/8.0 | reward(game/avg): 37500/37500 | 0.00 games/s | ETA: 220505s
[gpu0] [   2/1000] samples:    100 | chain(game/max/avg): 7/8/7.5 | reward(game/avg): 23490/30495 | 0.01 games/s | ETA: 111158s
[gpu0] [   3/1000] samples:    150 | chain(game/max/avg): 6/8/7.0 | reward(game/avg): 23010/28000 | 0.01 games/s | ETA: 74097s
[gpu0] [   4/1000] samples:    200 | chain(game/max/avg): 5/8/6.5 | reward(game/avg): 14570/24642 | 0.02 games/s | ETA: 55565s
[gpu0] [   5/1000] samples:    250 | chain(game/max/avg): 6/8/6.4 | reward(game/avg): 14580/22630 | 0.02 games/s | ETA: 44440s
[gpu0] [   6/1000] samples:    300 | chain(game/max/avg): 7/8/6.5 | reward(game/avg): 27140/23382 | 0.03 games/s | ETA: 37034s
[gpu0] [   7/1000] samples:    350 | chain(game/max/avg): 5/8/6.3 | reward(game/avg): 12390/21811 | 0.03 games/s | ETA: 31727s
[gpu0] [   8/1000] samples:    400 | chain(game/max/avg): 7/8/6.4 | reward(game/avg): 29480/22770 | 0.04 games/s | ETA: 27734s
[gpu0] [   9/1000] samples:    450 | chain(game/max/avg): 6/8/6.3 | reward(game/avg): 22080/22693 | 0.04 games/s | ETA: 24629s
[gpu0] [  10/1000] samples:    500 | chain(game/max/avg): 6/8/6.3 | reward(game/avg): 28910/23315 | 0.04 games/s | ETA: 22145s
[gpu0] [  11/1000] samples:    550 | chain(game/max/avg): 5/8/6.2 | reward(game/avg): 17680/22803 | 0.05 games/s | ETA: 20122s
[gpu0] [  12/1000] samples:    600 | chain(game/max/avg): 6/8/6.2 | reward(game/avg): 14610/22120 | 0.05 games/s | ETA: 18442s
[gpu0] [  13/1000] samples:    650 | chain(game/max/avg): 7/8/6.2 | reward(game/avg): 25480/22378 | 0.06 games/s | ETA: 17008s
